depth_um,metric,test,N_complete,experiments_used,median_iso0,Q25_iso0,Q75_iso0,median_iso1,Q25_iso1,Q75_iso1,median_iso2,Q25_iso2,Q75_iso2,median_iso3,Q25_iso3,Q75_iso3,p_value,q_value_BH_FDR_3tests
200,mean_thetaopt_deg,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,0.371333333333334,-21.9393333333333,3.823,0.0086666666666669,-22.3971666666667,3.20833333333333,-1.06466666666667,-22.1146666666667,2.98516666666667,-1.39066666666667,-21.6178333333333,2.76383333333333,0.277309056900112,0.415963585350168
250,mean_thetaopt_deg,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,2.2,-20.4116666666667,6.181,1.99266666666667,-21.3391666666667,6.16633333333333,1.01333333333333,-20.7156666666667,6.01166666666667,0.124666666666667,-19.9446666666667,5.43433333333333,0.614934935782537,0.614934935782537
300,mean_thetaopt_deg,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,4.62,-19.3485,8.34048275862069,4.16,-18.3726666666667,8.09716666666667,2.84866666666667,-20.4643333333333,7.778,2.31933333333333,-20.6717931034483,6.96366666666667,0.0292908865348883,0.0878726596046648
