condition_name,isoflurane_label,isoflurane_pct,metric,test,N_complete,experiments_used,median_200um,Q25_200um,Q75_200um,median_250um,Q25_250um,Q75_250um,median_300um,Q25_300um,Q75_300um,p_value,q_value_BH_FDR_4tests
Ane0,0%,0,mean_W95_deg,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,10.124,9.04916666666667,13.0505,12.1886666666667,10.1186666666667,15.0076666666667,14.6946666666667,12.3325,15.243,0.00214877548090972,0.00214877548090972
Ane1,1%,1,mean_W95_deg,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,10.3693333333333,8.88533333333333,13.0981666666667,12.1213333333333,10.0416666666667,14.3231666666667,14.3346666666667,11.6256666666667,15.0798333333333,0.000911881965554516,0.00182376393110903
Ane2,2%,2,mean_W95_deg,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,9.97333333333333,9.26766666666667,13.0401666666667,12.266,10.3175,15.1985,15.3926666666667,12.5675,16.3866666666667,0.000911881965554516,0.00182376393110903
Ane3,3%,3,mean_W95_deg,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,9.46733333333334,9.12716666666667,13.3343333333333,11.6446666666667,10.1906666666667,15.5695,16.0546666666667,12.9655,18.0571666666667,0.00214877548090972,0.00214877548090972
