condition_name,isoflurane_label,isoflurane_pct,metric,test,N_complete,experiments_used,median_200um,Q25_200um,Q75_200um,median_250um,Q25_250um,Q75_250um,median_300um,Q25_300um,Q75_300um,p_value,q_value_BH_FDR_4tests
Ane0,0%,0,mean_thetaopt_deg,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,0.371333333333334,-21.9393333333333,3.823,2.2,-20.4116666666667,6.181,4.62,-19.3485,8.34048275862069,0.0119315225357561,0.0374875463319627
Ane1,1%,1,mean_thetaopt_deg,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,0.0086666666666669,-22.3971666666667,3.20833333333333,1.99266666666667,-21.3391666666667,6.16633333333333,4.16,-18.3726666666667,8.09716666666667,0.0281156597489721,0.0374875463319627
Ane2,2%,2,mean_thetaopt_deg,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,-1.06466666666667,-22.1146666666667,2.98516666666667,1.01333333333333,-20.7156666666667,6.01166666666667,2.84866666666667,-20.4643333333333,7.778,0.049787068367864,0.049787068367864
Ane3,3%,3,mean_thetaopt_deg,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,-1.39066666666667,-21.6178333333333,2.76383333333333,0.124666666666667,-19.9446666666667,5.43433333333333,2.31933333333333,-20.6717931034483,6.96366666666667,0.0281156597489721,0.0374875463319627
