group_value,group_label,threshold,n_mice,mean_relative_fitted_score_median,mean_relative_fitted_score_q25,mean_relative_fitted_score_q75,minimum_relative_fitted_score_median,minimum_relative_fitted_score_q25,minimum_relative_fitted_score_q75,n_mice_with_below_threshold,n_total_valid_timepoints,n_total_below_threshold,percent_below_threshold,max_longest_below_threshold_run,lowest_relative_fitted_score_overall,fitted_score_loss_percent_at_lowest
200,200 um,0.95,7,0.998784941115228,0.997694721535908,0.999672717280423,0.995289134112853,0.990129002523042,0.998290445723132,0,210,0,0,0,0.987172173135026,1.28278268649741
250,250 um,0.95,7,0.995294609859899,0.991911852896976,0.998037577762855,0.987211381257674,0.983509223196017,0.994370837816586,0,210,0,0,0,0.95527409615249,4.47259038475104
300,300 um,0.95,7,0.985568765148957,0.983234935487432,0.994482758732286,0.97939033771019,0.970700310175083,0.982438935309218,1,210,3,1.42857142857143,2,0.941676120458426,5.83238795415739
