Model,Name,Estimate,SE,tStat,DF,pValue,Lower,Upper,AIC,BIC,LogLikelihood
Depth_only,(Intercept),0.326666666666668,0.105820473318553,3.08698927931741,79,0.0027885065939399,0.116036283303101,0.537297050030235,74.5335823877148,91.549299979618,-30.2667911938574
Depth_only,Depth_50um,0.228571428571428,0.043614671755625,5.24070041962311,79,1.29808118402998e-06,0.141758596006326,0.315384261136531,74.5335823877148,91.549299979618,-30.2667911938574
Depth_only,ConditionCat_Ane1,-0.132380952380952,0.100723769914909,-1.31429703726128,79,0.192549541022384,-0.332866601383255,0.0681046966213507,74.5335823877148,91.549299979618,-30.2667911938574
Depth_only,ConditionCat_Ane2,-0.0247619047619051,0.100723769914909,-0.245839733588445,79,0.806443880641416,-0.225247553764208,0.175723744240398,74.5335823877148,91.549299979618,-30.2667911938574
Depth_only,ConditionCat_Ane3,-0.134285714285715,0.100723769914909,-1.33320778599887,79,0.186295471721463,-0.334771363288018,0.0661999347165878,74.5335823877148,91.549299979618,-30.2667911938574
Depth_plus_W95,(Intercept),-0.255276019131961,0.163208185098596,-1.5641128475128,78,0.121839415236564,-0.580198556041577,0.0696465177776549,70.8878649999214,90.3343993906679,-27.4439324999607
Depth_plus_W95,mean_width95_deg,0.0554281613787402,0.0132212148931439,4.19236521202627,78,7.225017942937e-05,0.0291067444625951,0.0817495782948852,70.8878649999214,90.3343993906679,-27.4439324999607
Depth_plus_W95,Depth_50um,0.123028950856603,0.0514141281423764,2.39290162649283,78,0.0191205100430383,0.0206712845488443,0.225386617164362,70.8878649999214,90.3343993906679,-27.4439324999607
Depth_plus_W95,ConditionCat_Ane1,-0.121958698417578,0.103557894740361,-1.17768615056681,78,0.242502593947558,-0.328126629613735,0.0842092327785787,70.8878649999214,90.3343993906679,-27.4439324999607
Depth_plus_W95,ConditionCat_Ane2,-0.0464088013105159,0.103656732149304,-0.447716229792676,78,0.655599007203576,-0.252773502672557,0.159955900051525,70.8878649999214,90.3343993906679,-27.4439324999607
Depth_plus_W95,ConditionCat_Ane3,-0.162154641902111,0.103741250972499,-1.56306811786082,78,0.122084951465684,-0.368687607315569,0.0443783235113467,70.8878649999214,90.3343993906679,-27.4439324999607
Depth_plus_quality_metrics,(Intercept),0.89527109111383,4.31495106546034,0.207481168970874,75,0.836196432744188,-7.70055222080402,9.49109440303168,11.9872505135719,38.7262353008483,5.00637474321405
Depth_plus_quality_metrics,mean_width95_deg,0.0125507207915997,0.0100231808999803,1.25216943771057,75,0.214398934204688,-0.00741647946920522,0.0325179210524045,11.9872505135719,38.7262353008483,5.00637474321405
Depth_plus_quality_metrics,mean_R2,-10.9332747519445,1.50878324972207,-7.24641843283888,75,3.19671578698599e-10,-13.9389251136384,-7.9276243902507,11.9872505135719,38.7262353008483,5.00637474321405
Depth_plus_quality_metrics,valid_fit_rate,10.0498832736673,4.67529466791115,2.14957216336429,75,0.0348141152554523,0.736218695126276,19.3635478522083,11.9872505135719,38.7262353008483,5.00637474321405
Depth_plus_quality_metrics,boundary_hit_rate,15.2453623410543,2.97869469321161,5.11813526099138,75,2.30576933704214e-06,9.31149822659234,21.1792264555162,11.9872505135719,38.7262353008483,5.00637474321405
Depth_plus_quality_metrics,Depth_50um,0.0723152697233052,0.0358412010409284,2.01765754559189,75,0.0472047209390023,0.00091593592764401,0.143714603518966,11.9872505135719,38.7262353008483,5.00637474321405
Depth_plus_quality_metrics,ConditionCat_Ane1,-0.150569610381571,0.0721771355418042,-2.08611230206501,75,0.0403688923348454,-0.294353837564112,-0.00678538319903077,11.9872505135719,38.7262353008483,5.00637474321405
Depth_plus_quality_metrics,ConditionCat_Ane2,-0.0560440515470578,0.0719430996143092,-0.779005239522802,75,0.438427711921969,-0.199362055254321,0.0872739521602059,11.9872505135719,38.7262353008483,5.00637474321405
Depth_plus_quality_metrics,ConditionCat_Ane3,-0.18536058508856,0.0718204776278198,-2.58088766896142,75,0.0118077208157709,-0.32843431327241,-0.0422868569047099,11.9872505135719,38.7262353008483,5.00637474321405
