Comparison,ReducedModel,FullModel,LRStat,DeltaDF,pValue,ReducedDF,FullDF,ReducedAIC,FullAIC,ReducedBIC,FullBIC,ReducedLogLikelihood,FullLogLikelihood
Model 1 vs Model 2,Depth_only,Depth_plus_W95,5.64571738779344,1,0.0174980556698637,7,8,74.5335823877148,70.8878649999214,91.549299979618,90.3343993906679,-30.2667911938574,-27.4439324999607
Model 2 vs Model 3,Depth_plus_W95,Depth_plus_quality_metrics,64.9006144863495,3,5.26245713672324e-14,8,11,70.8878649999214,11.9872505135719,90.3343993906679,38.7262353008483,-27.4439324999607,5.00637474321405
