Condition,IsofluraneLabel,ConditionOrder,Metric,TestType,N_CompleteMouse,MiceUsed,P_Value,Median_200um,Q25_200um,Q75_200um,Mean_200um,N_200um,Median_250um,Q25_250um,Q75_250um,Mean_250um,N_250um,Median_300um,Q25_300um,Q75_300um,Mean_300um,N_300um,Q_Value_BH_FDR_4Friedman
Ane0,0%,0,Diff_MAD,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,0.0119315225357562,0.320000000000004,0.235,0.480000000000002,0.368571428571429,7,0.319999999999999,0.300000000000002,0.780000000000004,0.497142857142857,7,0.779999999999998,0.65,1.075,0.8,7,0.0159086967143415
Ane1,1%,1,Diff_MAD,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,0.0281156597489721,0.240000000000002,0.180000000000002,0.35,0.254285714285715,7,0.359999999999999,0.280000000000001,0.434999999999998,0.357142857142857,7,0.520000000000001,0.340000000000002,0.915000000000001,0.657142857142858,7,0.0281156597489721
Ane2,2%,2,Diff_MAD,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,0.00584097734319525,0.220000000000002,0.120000000000001,0.430000000000001,0.305714285714287,7,0.299999999999997,0.28,0.450000000000001,0.354285714285714,7,0.48,0.445,0.740000000000001,0.931428571428571,7,0.0116819546863905
Ane3,3%,3,Diff_MAD,Friedman,7,20221201_data1;20221208_data2;20221215_data2;20221220_data2;20231207_data1;20231215_data1;20231220_data1,0.00432023947409407,0.219999999999999,0.16,0.275,0.262857142857143,7,0.379999999999999,0.225,0.529999999999998,0.368571428571428,7,0.600000000000001,0.495,0.659999999999997,0.631428571428571,7,0.0116819546863905
