group_value,group_label,threshold,n_mice,mean_relative_fitted_score_median,mean_relative_fitted_score_q25,mean_relative_fitted_score_q75,minimum_relative_fitted_score_median,minimum_relative_fitted_score_q25,minimum_relative_fitted_score_q75,n_mice_with_below_threshold,n_total_valid_timepoints,n_total_below_threshold,percent_below_threshold,max_longest_below_threshold_run,lowest_relative_fitted_score_overall,fitted_score_loss_percent_at_lowest
Ane0,0%,0.95,7,0.996723191969291,0.995884300245208,0.998410867383654,0.982350114750272,0.980671360009858,0.987613223702736,0,210,0,0,0,0.967495590676045,3.25044093239546
Ane1,1%,0.95,7,0.998784941115228,0.997694721535908,0.999672717280423,0.995289134112853,0.990129002523042,0.998290445723132,0,210,0,0,0,0.987172173135026,1.28278268649741
Ane2,2%,0.95,7,0.998646522434984,0.997198041190385,0.999291213763388,0.994929873396254,0.987582246125338,0.995803375719751,0,210,0,0,0,0.983902574304309,1.60974256956907
Ane3,3%,0.95,7,0.997175360949765,0.99319883559003,0.99791051152592,0.987194681540868,0.983762071572476,0.993875200900413,1,210,2,0.952380952380952,1,0.888297085951738,11.1702914048262
