experiment_id,source_file,depth_um,isoflurane_pct,n_measurements,n_sampled_angles,angle_min_deg,angle_max_deg,angle_step_deg,actual_time_indices
20231011_data1,20231011_data1_Healthy_PeakF_CC_data.mat,200,2,30,14,-35,-9,2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
20231108_data1,20231108_data1_Healthy_PeakF_CC_data.mat,200,2,30,14,-35,-9,2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
20231109_data1,20231109_data1_Healthy_PeakF_CC_data.mat,200,2,30,14,-35,-9,2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
20240213_data1,20240213_data1_Healthy_PeakF_CC_data.mat,200,2,30,14,-35,-9,2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
20240501_data1,20240501_data1_Healthy_PeakF_CC_data.mat,200,2,30,14,-35,-9,2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
20240523_data1,20240523_data1_Healthy_PeakF_CC_data.mat,200,2,30,14,-30,-4,2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
20240530_data1,20240530_data1_Healthy_PeakF_CC_data.mat,200,2,30,14,-30,-4,2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
